ArrayTaskID Nom_dossier Année Level
43 vertical_velocity 2017 10
44 vertical_velocity 2018 10
45 vertical_velocity 2017 20
46 vertical_velocity 2018 20
47 vertical_velocity 2017 30
48 vertical_velocity 2018 30
49 vertical_velocity 2017 50
50 vertical_velocity 2018 50
51 vertical_velocity 2017 70
52 vertical_velocity 2018 70
53 vertical_velocity 2017 100
54 vertical_velocity 2018 100
55 vertical_velocity 2017 150
56 vertical_velocity 2018 150
57 vertical_velocity 2017 200
58 vertical_velocity 2018 200
59 vertical_velocity 2017 250
60 vertical_velocity 2018 250
61 vertical_velocity 2017 300
62 vertical_velocity 2018 300
63 vertical_velocity 2017 400
64 vertical_velocity 2018 400
65 vertical_velocity 2017 500
66 vertical_velocity 2018 500
67 vertical_velocity 2017 600
68 vertical_velocity 2018 600
69 vertical_velocity 2017 700
70 vertical_velocity 2018 700
71 vertical_velocity 2017 800
72 vertical_velocity 2018 800
73 vertical_velocity 2017 850
74 vertical_velocity 2018 850
75 vertical_velocity 2017 900
76 vertical_velocity 2018 900
77 vertical_velocity 2017 925
78 vertical_velocity 2018 925
79 vertical_velocity 2017 950
80 vertical_velocity 2018 950
81 vertical_velocity 2017 975
82 vertical_velocity 2018 975
83 vertical_velocity 2017 1000
84 vertical_velocity 2018 1000
